이름			path						Object종류	출력위치		가로이미지수	세로이미지수	// 간격 : 가로/가로이미지수, 세로/세로이미지수로 계산

Background		Image\Default\Background.bmp			0		0 0		1		1
RedCharacter		Image\Default\RedCharacter.bmp			1		40 120		1		3
BlueCharacter		Image\Default\BlueCharacter.bmp			1		140 120		1		3
BazziPickImage		Image\Default\BazziPickImage.bmp			2		510 180		1		2
DizniPickImage		Image\Default\DizniPickImage.bmp			2		610 180		1		2
RandomPickImage		Image\Default\RandomPickImage.bmp		2		710 180		2		1
Exit			Image\Default\Exit.bmp				2		760 575		1		2
Map			Image\Default\Map.bmp				1		490 350		1		2
MapPick			Image\Default\MapPick.bmp			2		647 429		1		2
Start			Image\Default\Start.bmp				2		530 495		1		2
